LINK,SOURCE,PHRASE,TITLE,CONTENT,DATE_ENTERED
www.buzzfeed.com,"""a senior administration official said""",The White House Is Still Trying To Win Over Skeptical Black Lives ...,https://www.buzzfeed.com/darrensands/the-white-house-is-still-trying-to-win-over-skeptical-black,"“The federal government is a complex entity,” <b>a senior administration official said</b>  of the frustration some inside White House had explaining what it would take to&nbsp;...",2016-05-27
www.cnn.com,"""a senior administration official said""","Taliban leader Mullah Mansour killed in airstrike, Taliban source says",http://www.cnn.com/2016/05/21/politics/u-s-conducted-airstrike-against-taliban-leader-mullah-mansour/,"A second source, <b>a senior administration official, said</b> it would likely take days to  get &quot;physical confirmation&quot; because of the remote location. Afghan officials also&nbsp;...",2016-05-27
www.nbcnews.com,"""fbi officials said""",American ISIS Defector: &#39;I&#39;ve Let My Nation Down&#39; - NBC News,http://www.nbcnews.com/storyline/isis-uncovered/american-isis-defector-i-ve-let-my-nation-down-n578216,&quot;That night I realized what terror was.&quot; <b>FBI officials said</b> they could not talk in  detail about the work Mo has done because &quot;they relate to ongoing investigations .,2016-05-27
abcnews.go.com,"""a government official said""","Poland News, Photos and Videos - ABC News",http://abcnews.go.com/topics/news/poland.htm,"... trees in parts of Poland&#39;s oldest forest, a move that aims to eliminate dying  trees and to ensure safety for tourists, <b>a government official said</b> Wednesday.",2016-05-27
abcnews.go.com,"""not authorized to speak on the record""",Refugees Tell of Being Pushed Back Into Greece From Balkans ...,http://abcnews.go.com/International/wireStory/refugees-pushed-back-greece-balkans-39249037,"But officials speaking on condition of anonymity because they were <b>not</b>  <b>authorized to speak on the record</b>, said some individual cases could have  happened.",2016-05-27
www.bloomberg.com,"""according to a person with direct knowledge""",Telefonica Said to Lean Toward Keeping O2 After Failed Sale ...,http://www.bloomberg.com/news/articles/2016-05-27/telefonica-said-to-lean-toward-keeping-o2-after-failed-u-k-deal,"... seek another buyer after a plan to sell the U.K. wireless carrier was blocked by  European Union regulators, <b>according to a person with direct knowledge</b> of the&nbsp;...",2016-05-27
www.bloomberg.com,"""according to a person with direct knowledge""",Telefonica Said to Add Banks for Debt-Cutting IPO of Telxius ...,http://www.bloomberg.com/news/articles/2016-05-23/telefonica-said-to-add-banks-for-debt-cutting-ipo-of-telxius,"... buyer after a plan to sell the U.K. wireless carrier was blocked by European  Union regulators, <b>according to a person with direct knowledge</b> of the matter.",2016-05-27
www.nbcnews.com,"""a senior White House official""",Taliban Leader Mullah Ahktar Mansoor &#39;Likely Killed&#39; by US Airstrike,http://www.nbcnews.com/news/world/taliban-leader-mullah-ahktar-mansoor-targeted-u-s-drone-strike-n578081,"The White House is awaiting official confirmation of Mansoor&#39;s death before  releasing their own statement about the strike, <b>a senior White House official</b> said.",2016-05-27
www.cnn.com,"""a Senate Democratic aide""",CNN.com - Transcripts,http://www.cnn.com/TRANSCRIPTS/1605/25/cnr.04.html,"Is she too toxic as <b>a senate Democratic aide</b>? Jeff, Sanders&#39; campaign manager  weighs in, next hour. SACHETI: Thank you. [10:57:15] BROWN: Welcome back.",2016-05-27
www.reuters.com,"""a source familiar with the situation""","Sumner Redstone suggests he could oust Viacom board, CEO ...",http://www.reuters.com/article/us-viacom-redstone-idUSKCN0YI29V,"Redstone has not yet responded, <b>a source familiar with the situation</b> told Reuters  on Friday. (Reporting By Jessica Toonkel; Editing by Bernard Orr and Dan&nbsp;...",2016-05-27
abcnews.go.com,"""a person familiar with the situation""",Harper Says His Jersey Being Auctioned Is Not as Advertised - ABC ...,http://abcnews.go.com/Sports/wireStory/harper-jersey-auctioned-advertised-39281955,"But <b>a person familiar with the situation</b> said Harper often wears two jerseys over  the course of a game, including his lucky one. The person discussed the matter&nbsp;...",2016-05-27
www.bloomberg.com,"""an official familiar with the situation""",Mozambique Says Opposition Militia Kill Three Over Weekend ...,http://www.bloomberg.com/news/articles/2016-05-16/mozambique-says-opposition-militia-kill-three-over-weekend,"... to avoid a default, <b>an official familiar with the situation</b>, who asked not to be  identified because he&#39;s not authorized to speak on the matter, said on Tuesday.",2016-05-27
www.businessinsider.com,"""did not want to be identified""",New police force finds old habits die hard in Ukraine - Business Insider,http://www.businessinsider.com/r-new-police-force-finds-old-habits-die-hard-in-ukraine-2016-5,"A Western diplomat, who <b>did not want to be identified</b> by name, said the fight  back by prosecutors showed reforms were starting to have a real impact.",2016-05-27
www.businessinsider.com,"""declined to be identified""",Didi Chuxing may be planning IPO - Business Insider,http://www.businessinsider.com/didi-chuxing-may-be-planning-ipo-2016-5,"Didi has ruled out a stock market flotation in China, said the person, who  <b>declined to be identified</b> as the discussions about a listing were private. There  are&nbsp;...",2016-05-27
www.npr.org,"""asked not to be identified""","Analysis Of NPR&#39;s Coverage Of Transgender Issues, HB2, And ...",http://www.npr.org/sections/ombudsman/2016/05/16/478267211/lots-of-transgender-stories-not-as-many-transgender-voices,A letter from a transgender man in northern Ohio who <b>asked not to be identified</b>  for reasons of personal privacy came in on May 10: &quot;I&#39;m sad to say that it was&nbsp;...,2016-05-27
www.reuters.com,"""asked not to be identified""",Exclusive: Verizon turns to former Yahoo bankers for bid - sources ...,http://www.reuters.com/article/us-yahoo-m-a-verizon-exclusive-idUSKCN0YI001,"The sources <b>asked not to be identified</b> because details of the auction process are  confidential. Verizon, Yahoo and Bank of America declined to comment.",2016-05-27
www.businessinsider.com,"""declined to give his name""",Dustin Diamond back in jail in Wisconsin - Business Insider,http://www.businessinsider.com/ap-dustin-diamond-back-in-jail-in-wisconsin-2016-5,An official at the jail who answered the phone Wednesday night but <b>declined to</b>  <b>give his name</b> says Diamond was in custody because of a probation violation.,2016-05-27
www.businessinsider.com,"""on condition of anonymity""",Man shot outside White House remains in critical condition ...,http://www.businessinsider.com/ap-man-shot-outside-white-house-remains-in-critical-condition-2016-5,The official spoke <b>on condition of anonymity</b> because the official was not  authorized to release the information. Secret Service Deputy Assistant Director  David&nbsp;...,2016-05-27
www.businessinsider.com,"""on condition of anonymity""",A US review of EgyptAir satellite images shows no signs of a blast ...,http://www.businessinsider.com/a-us-review-of-egyptair-satellite-images-shows-no-signs-of-a-blast-on-board-2016-5,"The officials, who spoke <b>on condition of anonymity</b> to discuss intelligence matters , said the conclusion was the result of a preliminary examination of imagery and&nbsp;...",2016-05-27
www.businessinsider.com,"""on condition of anonymity""",Forensic official: EgyptAir 804 human remains suggest blast ...,http://www.businessinsider.com/ap-forensic-official-egyptair-804-human-remains-suggest-blast-2016-5,The official spoke <b>on condition of anonymity</b> because he was not authorized to  talk to reporters. Egypt&#39;s investigative team said 18 batches of wreckage have&nbsp;...,2016-05-27
www.businessinsider.com,"""on condition of anonymity""",Obama to lay out vision for Vietnam ties after ending arms ban ...,http://www.businessinsider.com/r-obama-to-lay-out-vision-for-vietnam-ties-after-ending-arms-ban-2016-5,"A U.S. official, speaking <b>on condition of anonymity</b>, said there was evidence  engagement had worked in nudging Vietnam to make concessions, like its&nbsp;...",2016-05-27
www.businessinsider.com,"""refused to give her name""",NY company closely tied to Trump honors Trump businesses ...,http://www.businessinsider.com/ap-ny-company-closely-tied-to-trump-honors-trump-businesses-2016-5,"&quot;Whoever received a reward qualified,&quot; said the woman who answered the  phone at Cinque&#39;s company but <b>refused to give her name</b>. &quot;Why don&#39;t you go after &nbsp;...",2016-05-27
bleacherreport.com,"""a source close to""","Stephen Curry Injury: Updates on Warriors Star&#39;s Knee, Elbow and ...",http://bleacherreport.com/articles/2635642-stephen-curry-injury-updates-on-warriors-stars-elbow-and-return,"The Vertical&#39;s Adrian Wojnarowski reported that <b>a source close to</b> Curry said he&#39;s  &quot;playing at 70 percent, at best.&quot; Wojnarowski added, &quot;Curry refuses to make&nbsp;...",2016-05-27
www.businessinsider.com,"""asked not to be named""",Trump threat to renegotiate U.N. climate deal causes dismay abroad ...,http://www.businessinsider.com/r-trump-threat-to-renegotiate-un-climate-deal-causes-dismay-abroad-2016-5,"A senior delegate at the Bonn talks, who <b>asked not to be named</b>, said many  countries reckoned Trump was bluffing. Many Republican lawmakers do not  believe&nbsp;...",2016-05-27
www.bloomberg.com,"""asked not to be named""",Erdoganomics in Turkey Threatens Simsek&#39;s Market Credentials ...,http://www.bloomberg.com/news/articles/2016-05-24/erdoganomics-in-turkey-threatens-simsek-s-market-credentials,"... gain greater access following the exit of a hands-on premier, said a person  familiar with the matter who <b>asked not to be named</b> because of the sensitivity of  the&nbsp;...",2016-05-27
